Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2012R101,2012,R1,Accor Stadium,38203,Greater Western Sydney,Sydney,-33.8471,151.0634
2012R102,2012,R1,Melbourne Cricket Ground,78285,Richmond,Carlton,-37.82,144.9834
2012R103,2012,R1,Melbourne Cricket Ground,78466,Hawthorn,Collingwood,-37.82,144.9834
2012R105,2012,R1,Heritage Bank Stadium,12790,Gold Coast,Adelaide,-28.0063,153.3671
2012R107,2012,R1,Marvel Stadium,45818,North Melbourne,Essendon,-37.8166,144.9475
2012R106,2012,R1,Domain Stadium,34601,Fremantle,Geelong,-31.94,115.825
2012R104,2012,R1,Melbourne Cricket Ground,33473,Melbourne,Brisbane Lions,-37.82,144.9834
2012R109,2012,R1,AAMI Stadium,21179,Port Adelaide,St Kilda,-34.8747,138.4907
2012R108,2012,R1,Marvel Stadium,24977,Western Bulldogs,West Coast,-37.8166,144.9475
2012R201,2012,R2,The Gabba,25913,Brisbane Lions,Carlton,-27.4858,153.0381
2012R205,2012,R2,AAMI Stadium,34021,Adelaide,Western Bulldogs,-34.8747,138.4907
2012R202,2012,R2,Marvel Stadium,34118,Essendon,Port Adelaide,-37.8166,144.9475
2012R204,2012,R2,Domain Stadium,35674,West Coast,Melbourne,-31.94,115.825
2012R206,2012,R2,Melbourne Cricket Ground,57268,Collingwood,Richmond,-37.82,144.9834
2012R203,2012,R2,Sydney Cricket Ground,22242,Sydney,Fremantle,-33.8915,151.2249
2012R207,2012,R2,Blundstone Arena,11127,North Melbourne,Greater Western Sydney,-42.8773,147.374
2012R208,2012,R2,Marvel Stadium,21078,St Kilda,Gold Coast,-37.8166,144.9475
2012R209,2012,R2,Melbourne Cricket Ground,69231,Geelong,Hawthorn,-37.82,144.9834
2012R301,2012,R3,Melbourne Cricket Ground,84259,Carlton,Collingwood,-37.82,144.9834
2012R303,2012,R3,AAMI Stadium,19032,Port Adelaide,Sydney,-34.8747,138.4907
2012R305,2012,R3,Heritage Bank Stadium,17069,Gold Coast,Essendon,-28.0063,153.3671
2012R306,2012,R3,Marvel Stadium,28971,Western Bulldogs,St Kilda,-37.8166,144.9475
2012R304,2012,R3,Domain Stadium,33473,Fremantle,Brisbane Lions,-31.94,115.825
2012R302,2012,R3,Melbourne Cricket Ground,49826,Richmond,Melbourne,-37.82,144.9834
2012R307,2012,R3,Blacktown,6875,Greater Western Sydney,West Coast,33.7695,150.8522
2012R309,2012,R3,Marvel Stadium,29630,North Melbourne,Geelong,-37.8166,144.9475
2012R308,2012,R3,Melbourne Cricket Ground,33524,Hawthorn,Adelaide,-37.82,144.9834
2012R401,2012,R4,Marvel Stadium,30172,St Kilda,Fremantle,-37.8166,144.9475
2012R404,2012,R4,AAMI Stadium,28261,Adelaide,Greater Western Sydney,-34.8747,138.4907
